Player,Matches,Inns,Not_Outs,Runs,Highest_Inns_Score,Ave,Balls_Faced,Batting_Strike_Rate,100,50,0,4s,6s,Start_Year,End_Year,Country,Career_Length
DG Bradman ,52,80,10,6996,334,99.94,9800,58.6,29,13,7,626+,6,1928,1948,AUS,20
HC Brook ,12,20,1,1181,186,62.15,1287,91.76,4,7,1,141,23,2022,2023,ENG,1
AC Voges ,20,31,7,1485,269,61.87,2667,55.68,5,4,2,186,5,2015,2016,AUS,1
RG Pollock ,23,41,4,2256,274,60.97,1707,54.48,7,11,1,246+,11,1963,1970,SA,7
GA Headley ,22,40,4,2190,270,60.83,416,56.0,10,5,2,104+,1,1930,1954,WI,24
H Sutcliffe ,54,84,9,4555,194,60.73,6558,34.59,16,23,2,202+,6,1924,1935,ENG,11
E Paynter ,20,31,5,1540,243,59.23,1288,45.88,4,7,3,125+,4,1931,1939,ENG,8
KF Barrington ,82,131,15,6806,256,58.67,4957,42.42,20,35,5,591+,27,1955,1968,ENG,13
ED Weekes ,48,81,5,4455,207,58.61,,0.0,15,19,6,258+,2,1948,1958,WI,10
WR Hammond ,85,140,16,7249,336,58.45,7491,38.07,22,24,4,419+,27,1927,1947,ENG,20
GS Sobers ,93,160,21,8032,365,57.78,4063,53.58,26,30,12,593+,32+,1954,1974,WI,20
KC Sangakkara ,134,233,17,12400,319,57.4,22882,54.19,38,52,11,1491,51,2000,2015,SL,15
SPD Smith ,109*,194,25,9676,239,57.25,18075,53.53,32,41,10,1062,54,2010,2024,AUS,14
JB Hobbs ,61,102,7,5410,211,56.94,5363,46.22,15,28,4,276+,8,1908,1930,ENG,22
CL Walcott ,44,74,7,3798,220,56.68,,0.0,15,14,1,107+,11,1948,1960,WI,12
L Hutton ,79,138,15,6971,364,56.67,2844,39.34,19,33,5,358+,7,1937,1955,ENG,18
JH Kallis ,166,280,40,13289,224,55.37,28903,45.97,45,58,16,1488,97,1995,2013,ICC/SA,18
GE Tyldesley ,14,20,2,990,122,55.0,178,29.21,3,6,2,37+,2,1921,1929,ENG,8
KS Williamson ,100*,176,17,8743,251,54.98,17006,51.41,32,34,11,971,24,2010,2024,NZ,14
CA Davis ,15,29,5,1301,183,54.2,665,35.48,4,4,1,65+,1,1968,1973,WI,5
VG Kambli ,17,21,1,1084,227,54.2,1823,59.46,4,3,3,124,6,1993,1995,IND,2
GS Chappell ,87,151,19,7110,247,53.86,13079,51.53,24,31,12,755,16,1970,1984,AUS,14
